youtube,facebook,periodicos,ventas
91.56,33,19.2,14.45
132.84,48.72,75.84,19.85
105.96,30.6,88.08,14.07
131.76,57.36,61.68,19.6
161.16,5.88,11.16,11.76
34.32,1.8,39.6,5.39
261.24,40.2,70.8,23.02
301.08,43.8,86.76,25.47
128.88,16.8,13.08,12.21
195.96,37.92,63.48,19.89
237.12,4.2,7.08,14.65
221.88,25.2,26.4,17.9
347.64,50.76,61.44,27.85
162.24,50.04,55.08,20.87
266.88,5.16,59.76,16.29
355.68,43.56,121.08,28.46
336.24,12.12,25.68,20.88
225.48,20.64,21.48,17.98
285.84,41.16,6.36,24.63
165.48,55.68,70.8,21
30,13.2,35.64,7.37
108.48,0.36,27.84,8.04
15.72,0.48,30.72,4.15
306.48,32.28,6.6,23.14
270.96,9.84,67.8,17.38
290.04,45.6,27.84,25.21
210.84,18.48,2.88,16.37
251.52,24.72,12.84,18.74
93.84,56.16,41.4,18.57
90.12,42,63.24,15.72
167.04,17.16,30.72,14.49
91.68,0.96,17.76,8.35
150.84,44.28,95.04,19.31
23.28,19.2,26.76,7.42
169.56,32.16,55.44,17.68
22.56,26.04,60.48,9.49
268.8,2.88,18.72,17.16
147.72,41.52,14.88,17.91
275.4,38.76,89.04,23.33
104.64,14.16,31.08,11.92
9.36,46.68,60.72,13.26
96.24,0,11.04,8.15
264.36,58.8,3.84,26.86
71.52,14.4,51.72,8.88
0.84,47.52,10.44,12.98
318.24,3.48,51.6,18.58
10.08,32.64,2.52,9.89
263.76,40.2,54.12,23.19
44.28,46.32,78.72,14.24
57.96,56.4,10.2,16.53
30.72,46.8,11.16,13.49
328.44,34.68,71.64,24.96
51.6,31.08,24.6,12.28
221.88,52.68,2.04,23.74
88.08,20.4,15.48,12.25
232.44,42.48,90.72,21.96
264.6,39.84,45.48,22.17
125.52,6.84,41.28,10.52
115.44,17.76,46.68,12.69
168.36,2.28,10.8,11.73
288.12,8.76,10.44,17.76
291.84,58.8,53.16,27.89
45.6,48.36,14.28,14.63
53.64,30.96,24.72,12.54
336.84,16.68,44.4,21.75
145.2,10.08,58.44,12.34
237.12,27.96,17.04,20.55
205.56,47.64,45.24,22.11
225.36,25.32,11.4,19.19
4.92,13.92,6.84,6.84
112.68,52.2,60.6,18.9
179.76,1.56,29.16,12.44
14.04,44.28,54.24,11.61
158.04,22.08,41.52,14.89
207,21.72,36.84,15.49
102.84,42.96,59.16,16.02
226.08,21.72,30.72,18.7
196.2,44.16,8.88,20.87
140.64,17.64,6.48,12.42
281.4,4.08,101.76,16.88
21.48,45.12,25.92,13.85
248.16,6.24,23.28,16.07
258.48,28.32,69.12,21.1
341.16,12.72,7.68,21.45
60,13.92,22.08,9.22
197.4,25.08,56.88,16.6
23.52,24.12,20.4,9.17
202.08,8.52,15.36,14.27
266.88,4.08,15.72,16.44
332.28,58.68,50.16,29.44
298.08,36.24,24.36,24.64
204.24,9.36,42.24,15.44
332.04,2.76,28.44,19.53
198.72,12,21.12,15.48
187.92,3.12,9.96,12.58
262.2,6.48,32.88,15.57
67.44,6.84,35.64,8.11
345.12,51.6,86.16,29.48
304.56,25.56,36,22
246,54.12,23.52,25.03
167.4,2.52,31.92,10.66
229.32,34.44,21.84,20.11
343.2,16.68,4.44,23.19
22.44,14.52,28.08,7.46
47.4,49.32,6.96,14.9
90.6,12.96,7.2,9.5
20.64,4.92,37.92,5.31
200.16,50.4,4.32,21.42
179.64,42.72,7.2,20.59
45.84,4.44,16.56,6.86
113.04,5.88,9.72,9.79
212.4,11.16,7.68,14.83
340.32,50.4,79.44,28.6
278.52,10.32,10.44,18.83
